PARAMETER,YEAR,LAT,LON,ANN-Wind
WS2M,2017,-15.5,33.75,2.38
WS2M,2017,-15.5,34.375,2.3
WS2M,2017,-15.5,35,1.93
WS2M,2017,-15.5,35.625,2.55
WS2M,2017,-16,33.125,2.79
WS2M,2017,-16,33.75,2.63
WS2M,2017,-16,34.375,2.44
WS2M,2017,-16,35,2.06
WS2M,2017,-16,35.625,1.8
WS2M,2017,-16.5,33.125,2.86
WS2M,2017,-16.5,33.75,2.94
WS2M,2017,-16.5,34.375,2.76
WS2M,2017,-16.5,35,2.36
WS2M,2017,-16.5,35.625,2.12
WS2M,2017,-17,33.125,2.9
WS2M,2017,-17,33.75,3.15
WS2M,2017,-17,34.375,2.86
WS2M,2017,-17,35,2.52
WS2M,2017,-17,35.625,2.56
WS2M,2017,-9.5,33.125,2.32
WS2M,2017,-9.5,33.75,1.05
WS2M,2017,-9.5,34.375,1.64
WS2M,2017,-9.5,35,0.75
WS2M,2017,-9.5,35.625,0.07
WS2M,2018,-10,33.125,2.15
WS2M,2018,-10,33.75,2.46
WS2M,2018,-10,34.375,4.09
WS2M,2018,-10,35,1.22
WS2M,2018,-10,35.625,0.9
WS2M,2018,-10.5,33.125,2.06
WS2M,2018,-10.5,33.75,2.08
WS2M,2018,-10.5,34.375,3.84
WS2M,2018,-10.5,35,2.54
WS2M,2018,-10.5,35.625,2.33
WS2M,2018,-11,33.125,2.33
WS2M,2018,-11,33.75,2.69
WS2M,2018,-11,34.375,3.84
WS2M,2018,-11,35,3.06
WS2M,2018,-11,35.625,1.22
WS2M,2018,-11.5,33.125,2.8
WS2M,2018,-11.5,33.75,2.42
WS2M,2018,-11.5,34.375,3.87
WS2M,2018,-11.5,35,3.21
WS2M,2018,-11.5,35.625,2.1
WS2M,2018,-12,33.125,3.01
WS2M,2018,-12,33.75,1.77
WS2M,2018,-12,34.375,4.01
WS2M,2018,-12,35,3.1
WS2M,2018,-12,35.625,2.28
WS2M,2018,-12.5,33.125,3.06
WS2M,2018,-12.5,33.75,2.05
WS2M,2018,-12.5,34.375,4.2
WS2M,2018,-12.5,35,3.2
WS2M,2018,-12.5,35.625,2.17
WS2M,2018,-13,33.125,2.86
WS2M,2018,-13,33.75,2.39
WS2M,2018,-13,34.375,3.94
WS2M,2018,-13,35,3.42
WS2M,2018,-13,35.625,2.02
WS2M,2018,-13.5,33.125,2.62
WS2M,2018,-13.5,33.75,2.62
WS2M,2018,-13.5,34.375,3.77
WS2M,2018,-13.5,35,3.62
WS2M,2018,-13.5,35.625,2.28
WS2M,2018,-14,33.125,2.4
WS2M,2018,-14,33.75,2.43
WS2M,2018,-14,34.375,2.69
WS2M,2018,-14,35,3.83
WS2M,2018,-14,35.625,2.43
WS2M,2018,-14.5,33.125,2.41
WS2M,2018,-14.5,33.75,2.48
WS2M,2018,-14.5,34.375,1.62
WS2M,2018,-14.5,35,2.54
WS2M,2018,-14.5,35.625,2.55
WS2M,2018,-15,33.125,2.69
WS2M,2018,-15,33.75,2.52
WS2M,2018,-15,34.375,2.37
WS2M,2018,-15,35,2.08
WS2M,2018,-15,35.625,2.98
WS2M,2018,-15.5,33.125,2.86
WS2M,2018,-15.5,33.75,2.57
WS2M,2018,-15.5,34.375,2.53
WS2M,2018,-15.5,35,2.04
WS2M,2018,-15.5,35.625,2.53
WS2M,2018,-16,33.125,2.89
WS2M,2018,-16,33.75,2.74
WS2M,2018,-16,34.375,2.55
WS2M,2018,-16,35,2.11
WS2M,2018,-16,35.625,1.78
